age2,Embarked,Fare,SibSp,Parch,Pclass,Sex,Survived
22.0,S,7.25,1,0,3,male,0
38.0,C,71.2833,1,0,1,female,1
26.0,S,7.925,0,0,3,female,1
35.0,S,53.1,1,0,1,female,1
35.0,S,8.05,0,0,3,male,0
32.368090452261306,Q,8.4583,0,0,3,male,0
54.0,S,51.8625,0,0,1,male,0
2.0,S,21.075,3,1,3,male,0
27.0,S,11.1333,0,2,3,female,1
14.0,C,30.0708,1,0,2,female,1
4.0,S,16.7,1,1,3,female,1
58.0,S,26.55,0,0,1,female,1
20.0,S,8.05,0,0,3,male,0
39.0,S,31.275,1,5,3,male,0
14.0,S,7.8542,0,0,3,female,0
55.0,S,16.0,0,0,2,female,1
2.0,Q,29.125,4,1,3,male,0
32.368090452261306,S,13.0,0,0,2,male,1
31.0,S,18.0,1,0,3,female,0
35.898148148148145,C,7.225,0,0,3,female,1
35.0,S,26.0,0,0,2,male,0
34.0,S,13.0,0,0,2,male,1
15.0,Q,8.0292,0,0,3,female,1
28.0,S,35.5,0,0,1,male,1
8.0,S,21.075,3,1,3,female,0
38.0,S,31.3875,1,5,3,female,1
32.368090452261306,C,7.225,0,0,3,male,0
19.0,S,263.0,3,2,1,male,0
21.773972602739725,Q,7.8792,0,0,3,female,1
32.368090452261306,S,7.8958,0,0,3,male,0
40.0,C,27.7208,0,0,1,male,0
35.898148148148145,C,146.5208,1,0,1,female,1
21.773972602739725,Q,7.75,0,0,3,female,1
66.0,S,10.5,0,0,2,male,0
28.0,C,82.1708,1,0,1,male,0
42.0,S,52.0,1,0,1,male,0
32.368090452261306,C,7.2292,0,0,3,male,1
21.0,S,8.05,0,0,3,male,0
18.0,S,18.0,2,0,3,female,0
14.0,C,11.2417,1,0,3,female,1
40.0,S,9.475,1,0,3,female,0
27.0,S,21.0,1,0,2,female,0
32.368090452261306,C,7.8958,0,0,3,male,0
3.0,C,41.5792,1,2,2,female,1
19.0,Q,7.8792,0,0,3,female,1
32.368090452261306,S,8.05,0,0,3,male,0
32.368090452261306,Q,15.5,1,0,3,male,0
21.773972602739725,Q,7.75,0,0,3,female,1
32.368090452261306,C,21.6792,2,0,3,male,0
18.0,S,17.8,1,0,3,female,0
7.0,S,39.6875,4,1,3,male,0
21.0,S,7.8,0,0,3,male,0
49.0,C,76.7292,1,0,1,female,1
29.0,S,26.0,1,0,2,female,1
65.0,C,61.9792,0,1,1,male,0
32.368090452261306,S,35.5,0,0,1,male,1
21.0,S,10.5,0,0,2,female,1
28.5,C,7.2292,0,0,3,male,0
5.0,S,27.75,1,2,2,female,1
11.0,S,46.9,5,2,3,male,0
22.0,C,7.2292,0,0,3,male,0
38.0,S,80.0,0,0,1,female,1
45.0,S,83.475,1,0,1,male,0
4.0,S,27.9,3,2,3,male,0
32.368090452261306,C,27.7208,0,0,1,male,0
4.574166666666667,C,15.2458,1,1,3,male,1
29.0,S,10.5,0,0,2,female,1
19.0,S,8.1583,0,0,3,male,0
17.0,S,7.925,4,2,3,female,1
26.0,S,8.6625,2,0,3,male,0
32.0,S,10.5,0,0,2,male,0
16.0,S,46.9,5,2,3,female,0
21.0,S,73.5,0,0,2,male,0
26.0,C,14.4542,1,0,3,male,0
32.0,S,56.4958,0,0,3,male,1
25.0,S,7.65,0,0,3,male,0
32.368090452261306,S,7.8958,0,0,3,male,0
32.368090452261306,S,8.05,0,0,3,male,0
0.83,S,29.0,0,2,2,male,1
30.0,S,12.475,0,0,3,female,1
22.0,S,9.0,0,0,3,male,0
29.0,S,9.5,0,0,3,male,1
21.773972602739725,Q,7.7875,0,0,3,female,1
28.0,S,47.1,0,0,1,male,0
17.0,S,10.5,0,0,2,female,1
33.0,S,15.85,3,0,3,female,1
16.0,S,34.375,1,3,3,male,0
32.368090452261306,S,8.05,0,0,3,male,0
23.0,S,263.0,3,2,1,female,1
24.0,S,8.05,0,0,3,male,0
29.0,S,8.05,0,0,3,male,0
20.0,S,7.8542,0,0,3,male,0
46.0,S,61.175,1,0,1,male,0
26.0,S,20.575,1,2,3,male,0
59.0,S,7.25,0,0,3,male,0
32.368090452261306,S,8.05,0,0,3,male,0
71.0,C,34.6542,0,0,1,male,0
23.0,C,63.3583,0,1,1,male,1
34.0,S,23.0,0,1,2,female,1
34.0,S,26.0,1,0,2,male,0
28.0,S,7.8958,0,0,3,female,0
32.368090452261306,S,7.8958,0,0,3,male,0
21.0,S,77.2875,0,1,1,male,0
33.0,S,8.6542,0,0,3,male,0
37.0,S,7.925,2,0,3,male,0
28.0,S,7.8958,0,0,3,male,0
21.0,S,7.65,0,0,3,female,1
32.368090452261306,S,7.775,0,0,3,male,1
38.0,S,7.8958,0,0,3,male,0
21.773972602739725,Q,24.15,1,0,3,female,1
47.0,S,52.0,0,0,1,male,0
14.5,C,14.4542,1,0,3,female,0
22.0,S,8.05,0,0,3,male,0
20.0,S,9.825,1,0,3,female,0
17.0,C,14.4583,0,0,3,female,0
21.0,S,7.925,0,0,3,male,0
70.5,Q,7.75,0,0,3,male,0
29.0,S,21.0,1,0,2,male,0
24.0,C,247.5208,0,1,1,male,0
2.0,S,31.275,4,2,3,female,0
21.0,S,73.5,2,0,2,male,0
32.368090452261306,S,8.05,0,0,3,male,0
32.5,C,30.0708,1,0,2,male,0
32.5,S,13.0,0,0,2,female,1
54.0,S,77.2875,0,1,1,male,0
12.0,C,11.2417,1,0,3,male,1
32.368090452261306,Q,7.75,0,0,3,male,0
24.0,S,7.1417,0,0,3,male,1
21.773972602739725,C,22.3583,1,1,3,female,1
45.0,S,6.975,0,0,3,male,0
33.0,C,7.8958,0,0,3,male,0
20.0,S,7.05,0,0,3,male,0
47.0,S,14.5,1,0,3,female,0
29.0,S,26.0,1,0,2,female,1
25.0,S,13.0,0,0,2,male,0
23.0,C,15.0458,0,0,2,male,0
19.0,S,26.2833,0,2,1,female,1
37.0,S,53.1,1,0,1,male,0
16.0,S,9.2167,0,0,3,male,0
24.0,C,79.2,0,0,1,male,0
35.898148148148145,C,15.2458,0,2,3,female,0
22.0,S,7.75,0,0,3,female,1
24.0,S,15.85,1,0,3,female,1
19.0,Q,6.75,0,0,3,male,0
18.0,S,11.5,0,0,2,male,0
19.0,S,36.75,1,1,2,male,0
27.0,S,7.7958,0,0,3,male,1
9.0,S,34.375,2,2,3,female,0
36.5,S,26.0,0,2,2,male,0
42.0,S,13.0,0,0,2,male,0
51.0,S,12.525,0,0,2,male,0
22.0,S,66.6,1,0,1,female,1
55.5,S,8.05,0,0,3,male,0
40.5,S,14.5,0,2,3,male,0
32.368090452261306,S,7.3125,0,0,3,male,0
51.0,C,61.3792,0,1,1,male,0
16.0,Q,7.7333,0,0,3,female,1
30.0,S,8.05,0,0,3,male,0
32.368090452261306,S,8.6625,0,0,3,male,0
4.574166666666667,S,69.55,8,2,3,male,0
44.0,S,16.1,0,1,3,male,0
40.0,S,15.75,0,0,2,female,1
26.0,S,7.775,0,0,3,male,0
17.0,S,8.6625,0,0,3,male,0
1.0,S,39.6875,4,1,3,male,0
9.0,S,20.525,0,2,3,male,1
35.898148148148145,S,55.0,0,1,1,female,1
45.0,S,27.9,1,4,3,female,0
32.368090452261306,S,25.925,0,0,1,male,0
28.0,S,56.4958,0,0,3,male,0
61.0,S,33.5,0,0,1,male,0
4.0,Q,29.125,4,1,3,male,0
1.0,S,11.1333,1,1,3,female,1
21.0,S,7.925,0,0,3,male,0
56.0,C,30.6958,0,0,1,male,0
18.0,S,7.8542,1,1,3,male,0
4.574166666666667,S,25.4667,3,1,3,male,0
50.0,C,28.7125,0,0,1,female,0
30.0,S,13.0,0,0,2,male,0
36.0,S,0.0,0,0,3,male,0
21.773972602739725,S,69.55,8,2,3,female,0
32.368090452261306,C,15.05,0,0,2,male,0
9.0,S,31.3875,4,2,3,male,0
1.0,S,39.0,2,1,2,male,1
4.0,S,22.025,0,2,3,female,1
32.368090452261306,S,50.0,0,0,1,male,0
35.898148148148145,Q,15.5,1,0,3,female,1
45.0,S,26.55,0,0,1,male,1
40.0,Q,15.5,1,1,3,male,0
36.0,S,7.8958,0,0,3,male,0
32.0,S,13.0,0,0,2,female,1
