age_range,Embarked,Fare,SibSp,Parch,Pclass,Sex,Survived
1,S,7.25,1,0,3,male,0
1,C,71.2833,1,0,1,female,1
1,S,7.925,0,0,3,female,1
1,S,53.1,1,0,1,female,1
1,S,8.05,0,0,3,male,0
1,Q,8.4583,0,0,3,male,0
2,S,51.8625,0,0,1,male,0
0,S,21.075,3,1,3,male,0
1,S,11.1333,0,2,3,female,1
0,C,30.0708,1,0,2,female,1
0,S,16.7,1,1,3,female,1
2,S,26.55,0,0,1,female,1
1,S,8.05,0,0,3,male,0
1,S,31.275,1,5,3,male,0
0,S,7.8542,0,0,3,female,0
2,S,16.0,0,0,2,female,1
0,Q,29.125,4,1,3,male,0
1,S,13.0,0,0,2,male,1
1,S,18.0,1,0,3,female,0
1,C,7.225,0,0,3,female,1
1,S,26.0,0,0,2,male,0
1,S,13.0,0,0,2,male,1
0,Q,8.0292,0,0,3,female,1
1,S,35.5,0,0,1,male,1
0,S,21.075,3,1,3,female,0
1,S,31.3875,1,5,3,female,1
1,C,7.225,0,0,3,male,0
0,S,263.0,3,2,1,male,0
1,Q,7.8792,0,0,3,female,1
1,S,7.8958,0,0,3,male,0
2,C,27.7208,0,0,1,male,0
1,C,146.5208,1,0,1,female,1
1,Q,7.75,0,0,3,female,1
3,S,10.5,0,0,2,male,0
1,C,82.1708,1,0,1,male,0
2,S,52.0,1,0,1,male,0
1,C,7.2292,0,0,3,male,1
1,S,8.05,0,0,3,male,0
0,S,18.0,2,0,3,female,0
0,C,11.2417,1,0,3,female,1
2,S,9.475,1,0,3,female,0
1,S,21.0,1,0,2,female,0
1,C,7.8958,0,0,3,male,0
0,C,41.5792,1,2,2,female,1
0,Q,7.8792,0,0,3,female,1
1,S,8.05,0,0,3,male,0
1,Q,15.5,1,0,3,male,0
1,Q,7.75,0,0,3,female,1
1,C,21.6792,2,0,3,male,0
0,S,17.8,1,0,3,female,0
0,S,39.6875,4,1,3,male,0
1,S,7.8,0,0,3,male,0
2,C,76.7292,1,0,1,female,1
1,S,26.0,1,0,2,female,1
3,C,61.9792,0,1,1,male,0
1,S,35.5,0,0,1,male,1
1,S,10.5,0,0,2,female,1
1,C,7.2292,0,0,3,male,0
0,S,27.75,1,2,2,female,1
0,S,46.9,5,2,3,male,0
1,C,7.2292,0,0,3,male,0
1,S,80.0,0,0,1,female,1
2,S,83.475,1,0,1,male,0
0,S,27.9,3,2,3,male,0
1,C,27.7208,0,0,1,male,0
0,C,15.2458,1,1,3,male,1
1,S,10.5,0,0,2,female,1
0,S,8.1583,0,0,3,male,0
0,S,7.925,4,2,3,female,1
1,S,8.6625,2,0,3,male,0
1,S,10.5,0,0,2,male,0
0,S,46.9,5,2,3,female,0
1,S,73.5,0,0,2,male,0
1,C,14.4542,1,0,3,male,0
1,S,56.4958,0,0,3,male,1
1,S,7.65,0,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,8.05,0,0,3,male,0
0,S,29.0,0,2,2,male,1
1,S,12.475,0,0,3,female,1
1,S,9.0,0,0,3,male,0
1,S,9.5,0,0,3,male,1
1,Q,7.7875,0,0,3,female,1
1,S,47.1,0,0,1,male,0
0,S,10.5,0,0,2,female,1
1,S,15.85,3,0,3,female,1
0,S,34.375,1,3,3,male,0
1,S,8.05,0,0,3,male,0
1,S,263.0,3,2,1,female,1
1,S,8.05,0,0,3,male,0
1,S,8.05,0,0,3,male,0
1,S,7.8542,0,0,3,male,0
2,S,61.175,1,0,1,male,0
1,S,20.575,1,2,3,male,0
2,S,7.25,0,0,3,male,0
1,S,8.05,0,0,3,male,0
3,C,34.6542,0,0,1,male,0
1,C,63.3583,0,1,1,male,1
1,S,23.0,0,1,2,female,1
1,S,26.0,1,0,2,male,0
1,S,7.8958,0,0,3,female,0
1,S,7.8958,0,0,3,male,0
1,S,77.2875,0,1,1,male,0
1,S,8.6542,0,0,3,male,0
1,S,7.925,2,0,3,male,0
1,S,7.8958,0,0,3,male,0
1,S,7.65,0,0,3,female,1
1,S,7.775,0,0,3,male,1
1,S,7.8958,0,0,3,male,0
